"Results from CVodes cvsAdvDiff_bnd"
time;u(0,0);u(0,1);u(0,2);u(0,3);u(0,4);u(1,0);u(1,1);u(1,2);u(1,3);u(1,4);u(2,0);u(2,1);u(2,2);u(2,3);u(2,4);u(3,0);u(3,1);u(3,2);u(3,3);u(3,4);u(4,0);u(4,1);u(4,2);u(4,3);u(4,4);u(5,0);u(5,1);u(5,2);u(5,3);u(5,4);u(6,0);u(6,1);u(6,2);u(6,3);u(6,4);u(7,0);u(7,1);u(7,2);u(7,3);u(7,4);u(8,0);u(8,1);u(8,2);u(8,3);u(8,4);u(9,0);u(9,1);u(9,2);u(9,3);u(9,4)
0.0000000000; 0.053424973917241; 0.099464131700641; 0.130203066395894; 0.134670007450175; 0.097938420512703; 0.111897148163221; 0.242406013410316; 0.369232822505903; 0.444377607239709; 0.376042188867752; 0.173604088527859; 0.437609271118107; 0.775613964029041; 1.086174692549578; 1.069513521812518; 0.235672513037807; 0.691254055706214; 1.425604283971322; 2.323032288475380; 2.661607676750153; 0.293815261538108; 1.002779170314004; 2.406405424078165; 4.562756017285976; 6.083005862211309; 0.341882243061021; 1.357718365686973; 3.791188519000935; 8.364423690876308; 12.975652497573520; 0.371291934739260; 1.715737556272444; 5.574664557048388; 14.311382094741381; 25.833125505401892; 0.370314672699757; 1.991170532978897; 7.527981321788681; 22.487623643429036; 47.232521986252586; 0.323172485012100; 2.021967210133832; 8.895008735701207; 30.918157453851457; 75.563726933696586; 0.208912327148751; 1.520918672428657; 7.785391498544110; 31.488347990835024; 89.547163973666997
0.1000000000; 0.122571465323024; 0.222013572816852; 0.272087118280304; 0.249677155329378; 0.150247249022158; 0.270560122648744; 0.491321404806781; 0.604117199045969; 0.556065336025278; 0.335334136424816; 0.474146821600490; 0.863879603773218; 1.066709969610506; 0.985734442690820; 0.596062011113296; 0.751807170632083; 1.374401518837954; 1.704398165704474; 1.581282359194962; 0.958797141100290; 1.097366186579660; 2.012285110622184; 2.505133285068771; 2.332491979615007; 1.417751867125897; 1.461183126624482; 2.686397196163626; 3.355315197717683; 3.133485305577741; 1.908533449362717; 1.738080376865491; 3.202157889328839; 4.010022165750403; 3.753926365379383; 2.290185867483080; 1.784920481316594; 3.293688939276827; 4.132888604597398; 3.876013402769169; 2.367612210575307; 1.484643420819745; 2.742649161167474; 3.446264734555786; 3.236195575170542; 1.978508466917488; 0.836086404441728; 1.545561635185983; 1.943678208395401; 1.826580347496003; 1.117289120121116
0.2000000000; 0.091543451886294; 0.159154485987121; 0.184717589055669; 0.160786574086665; 0.093175541609645; 0.182857278460906; 0.317926588552187; 0.369017883916840; 0.321232806351455; 0.186163500223763; 0.277510117291551; 0.482531192253964; 0.560130634919194; 0.487646177426675; 0.282625110597415; 0.371932878961142; 0.646764569236906; 0.750857861385188; 0.653763134084936; 0.378931459701014; 0.454756499325703; 0.790850565321248; 0.918230849991856; 0.799576738484674; 0.463482702407923; 0.508556192633244; 0.884473086659705; 1.027029679398815; 0.894400181641240; 0.518483340821860; 0.514558415511864; 0.894964110329266; 1.039293659164646; 0.905151375851826; 0.524745766770851; 0.459631206459370; 0.799466572758821; 0.928453075947099; 0.808667040922810; 0.468831791851226; 0.343165003545328; 0.596908947576027; 0.693245700825077; 0.603832314156263; 0.350088493025907; 0.180444777957686; 0.313875955035330; 0.364543119228525; 0.317533700319368; 0.184102603133577
0.3000000000; 0.038731780750206; 0.067104450171830; 0.077515576028256; 0.067156467533883; 0.038783798144761; 0.073723634422799; 0.127729538412237; 0.147546876697056; 0.127829151724367; 0.073823247857612; 0.104257877777070; 0.180631968027521; 0.208657899253773; 0.180774119561949; 0.104400029687438; 0.128644792875024; 0.222884214878790; 0.257466894177311; 0.223061533345324; 0.128822112330976; 0.144402813725108; 0.250186699835222; 0.289006957551704; 0.250388042985564; 0.144604159111682; 0.148886484382286; 0.257955784102916; 0.297982876703463; 0.258165711497021; 0.149096416017036; 0.140190714822286; 0.242890508991679; 0.280581069278592; 0.243090180455124; 0.140390392777108; 0.118043617231198; 0.204519581512987; 0.236256749275296; 0.204689143184873; 0.118213186557501; 0.084356930314079; 0.146155103517049; 0.168835773558817; 0.146277068070783; 0.084478901472955; 0.043180097096759; 0.074813049614291; 0.086422850231387; 0.074875739862396; 0.043242791047457
0.4000000000; 0.013366108788021; 0.023151324511154; 0.026733706362474; 0.023152813027626; 0.013367597300948; 0.024927535988715; 0.043176783045645; 0.049857869874258; 0.043179580435870; 0.024930333357949; 0.034182470184991; 0.059207194955492; 0.068368819190919; 0.059211073138135; 0.034186348286972; 0.040632206538244; 0.070378754310784; 0.081269079668641; 0.070383420321492; 0.040636872310591; 0.043826324734521; 0.075911284278267; 0.087657739700076; 0.075916373998475; 0.043831413884554; 0.043464271830733; 0.075284191877617; 0.086933638320382; 0.075289285350658; 0.043469364192484; 0.039516593433433; 0.068446454564865; 0.079037849608524; 0.068451113722542; 0.039521250843797; 0.032319294469767; 0.055980062349815; 0.064642417313159; 0.055983883415227; 0.032323113362118; 0.022600056247630; 0.039145428114305; 0.045202792576013; 0.039148098743448; 0.022602724834878; 0.011414638483974; 0.019771230006447; 0.022830629575536; 0.019772575808015; 0.011415983057660
0.5000000000; 0.004247043813660; 0.007356106481542; 0.008494117167138; 0.007356136009535; 0.004247073347284; 0.007849783899020; 0.013596243689125; 0.015699620028255; 0.013596295794884; 0.007849836040787; 0.010616235360196; 0.018387883235429; 0.021232536498040; 0.018387948511046; 0.010616300779396; 0.012403885286946; 0.021484185383748; 0.024807840234673; 0.021484253762812; 0.012403954104458; 0.013128152024477; 0.022738650362792; 0.026256367874077; 0.022738712063778; 0.013128214816845; 0.012775121697141; 0.022127178201787; 0.025550291210618; 0.022127224428378; 0.012775170163771; 0.011413117767586; 0.019768109031973; 0.022826259604132; 0.019768135518112; 0.011413148008795; 0.009196827892497; 0.015929373219126; 0.018393658259465; 0.015929385504697; 0.009196845186608; 0.006359180198461; 0.011014418971448; 0.012718354386949; 0.011014428355942; 0.006359194592947; 0.003189436204059; 0.005524262509113; 0.006378868929682; 0.005524271087288; 0.003189447925861
0.6000000000; 0.001301589754179; 0.002254418712028; 0.002603177140948; 0.002254416370784; 0.001301587410345; 0.002395982403982; 0.004149961278735; 0.004791959439936; 0.004149955968652; 0.002395977087461; 0.003219987843950; 0.005577179117206; 0.006439966376098; 0.005577169882459; 0.003219978597271; 0.003732322089556; 0.006464566459113; 0.007464630463368; 0.006464552765047; 0.003732308378134; 0.003915221037551; 0.006781355404130; 0.007830424615909; 0.006781337753287; 0.003915203367199; 0.003775491139572; 0.006539335465340; 0.007550962797571; 0.006539315400613; 0.003775471056754; 0.003344331310289; 0.005792544853769; 0.006688643201636; 0.005792524404402; 0.003344310841807; 0.002675217932488; 0.004633607294888; 0.005350418491934; 0.004633588610950; 0.002675199221362; 0.001839430906427; 0.003185983174596; 0.003678848512853; 0.003185968639932; 0.001839416338025; 0.000919320244849; 0.001592306884147; 0.001838633271499; 0.001592298919215; 0.000919312255098
0.7000000000; 0.000392400822224; 0.000679658241662; 0.000784801879977; 0.000679658500299; 0.000392401078256; 0.000720920459402; 0.001248670983967; 0.001441841283398; 0.001248671402829; 0.000720920871054; 0.000965880987090; 0.001672955069612; 0.001931762377119; 0.001672955554535; 0.000965881455979; 0.001115193124027; 0.001931571340002; 0.002230386817822; 0.001931571963778; 0.001115193716505; 0.001164692876555; 0.002017307694980; 0.002329386972414; 0.002017308794053; 0.001164693920582; 0.001118035837004; 0.001936495844765; 0.002236074088861; 0.001936497745248; 0.001118037649188; 0.000986100703295; 0.001707978007200; 0.001972204930907; 0.001707980446351; 0.000986103015329; 0.000785867714798; 0.001361164431326; 0.001571739041725; 0.001361166444757; 0.000785869572397; 0.000538794336591; 0.000933220399910; 0.001077591174096; 0.000933221216859; 0.000538795004599; 0.000268793144090; 0.000465563976690; 0.000537587346179; 0.000465563946076; 0.000268793021922
0.8000000000; 0.000117980965728; 0.000204348617119; 0.000235960747971; 0.000204347336196; 0.000117979695173; 0.000216530879895; 0.000375041755882; 0.000433059626916; 0.000375039416052; 0.000216528568169; 0.000289631807789; 0.000501655921923; 0.000579260456532; 0.000501652500629; 0.000289628448122; 0.000333702111152; 0.000577987112809; 0.000667398925553; 0.000577981771703; 0.000333696890112; 0.000347676558045; 0.000602189781159; 0.000695343364824; 0.000602180818829; 0.000347667809016; 0.000332909669498; 0.000576610130957; 0.000665803239531; 0.000576596513251; 0.000332896399997; 0.000292911398705; 0.000507328826808; 0.000585801744213; 0.000507312587366; 0.000292895669821; 0.000232932973165; 0.000403442919221; 0.000465845356060; 0.000403429165744; 0.000232919854909; 0.000159430599140; 0.000276135304302; 0.000318846856366; 0.000276128041629; 0.000159423949837; 0.000079450973682; 0.000137609922441; 0.000158895568392; 0.000137608086557; 0.000079449516960
0.9000000000; 0.000035976497926; 0.000062313025631; 0.000071952730656; 0.000062312758864; 0.000035976231441; 0.000066008086296; 0.000114329185219; 0.000132015693713; 0.000114328701092; 0.000066007602909; 0.000088250861404; 0.000152854751738; 0.000176501103380; 0.000152854121622; 0.000088250232766; 0.000101617429441; 0.000176006302854; 0.000203234172496; 0.000176005604036; 0.000101616733020; 0.000105799486608; 0.000183249827111; 0.000211598262459; 0.000183249116070; 0.000105798778680; 0.000101232810514; 0.000175340101397; 0.000202464900034; 0.000175339413288; 0.000101232125520; 0.000089008898665; 0.000154167665035; 0.000178017103886; 0.000154167051025; 0.000089008286799; 0.000070741074103; 0.000122526899543; 0.000141481571433; 0.000122526437647; 0.000070740612750; 0.000048396801621; 0.000083825556887; 0.000096793224899; 0.000083825291994; 0.000048396535977; 0.000024111364237; 0.000041762030571; 0.000048222557334; 0.000041761928374; 0.000024111261165
