"IDAS idasBruss_kry_bbd_p example"
"time";     "u(0,0)";         "u(81,81)"
1.26e+01;   4.2136e-01;       3.3080e-01
1.27e+01;   4.3255e-01;       3.3422e-01
1.28e+01;   4.4519e-01;       3.3786e-01
1.29e+01;   4.5969e-01;       3.4173e-01
1.30e+01;   4.7679e-01;       3.4585e-01
1.31e+01;   4.9779e-01;       3.5023e-01
1.32e+01;   5.2532e-01;       3.5488e-01
1.33e+01;   5.6522e-01;       3.5983e-01
1.34e+01;   6.3163e-01;       3.6511e-01
1.35e+01;   7.6159e-01;       3.7074e-01
1.36e+01;   1.0578e+00;       3.7677e-01
1.37e+01;   1.7979e+00;       3.8325e-01
1.38e+01;   3.3159e+00;       3.9024e-01
1.39e+01;   4.2986e+00;       3.9780e-01
1.40e+01;   4.1646e+00;       4.0602e-01
1.41e+01;   3.7962e+00;       4.1500e-01
1.42e+01;   3.4262e+00;       4.2487e-01
1.43e+01;   3.0858e+00;       4.3581e-01
1.44e+01;   2.7764e+00;       4.4801e-01
1.45e+01;   2.4952e+00;       4.6174e-01
1.46e+01;   2.2387e+00;       4.7737e-01
1.47e+01;   2.0041e+00;       4.9537e-01
1.48e+01;   1.7891e+00;       5.1640e-01
1.49e+01;   1.5918e+00;       5.4139e-01
1.50e+01;   1.4111e+00;       5.7173e-01
1.51e+01;   1.2462e+00;       6.0951e-01
1.52e+01;   1.0968e+00;       6.5807e-01
1.53e+01;   9.6303e-01;       7.2310e-01
1.54e+01;   8.4476e-01;       8.1498e-01
1.55e+01;   7.4192e-01;       9.5455e-01
1.56e+01;   6.5408e-01;       1.1892e+00
1.57e+01;   5.8043e-01;       1.6429e+00
1.58e+01;   5.1979e-01;       2.6511e+00
1.59e+01;   4.7070e-01;       4.2911e+00
1.60e+01;   4.3159e-01;       4.7714e+00
1.61e+01;   4.0087e-01;       4.4794e+00
1.62e+01;   3.7706e-01;       4.1023e+00
1.63e+01;   3.5886e-01;       3.7418e+00
1.64e+01;   3.4512e-01;       3.4084e+00
1.65e+01;   3.3494e-01;       3.1012e+00
1.66e+01;   3.2755e-01;       2.8181e+00
1.67e+01;   3.2235e-01;       2.5567e+00
1.68e+01;   3.1888e-01;       2.3149e+00
1.69e+01;   3.1676e-01;       2.0907e+00
1.70e+01;   3.1573e-01;       1.8826e+00
1.71e+01;   3.1555e-01;       1.6894e+00
1.72e+01;   3.1608e-01;       1.5103e+00
1.73e+01;   3.1717e-01;       1.3448e+00
1.74e+01;   3.1874e-01;       1.1927e+00
1.75e+01;   3.2071e-01;       1.0542e+00
1.76e+01;   3.2303e-01;       9.2937e-01
1.77e+01;   3.2567e-01;       8.1859e-01
1.78e+01;   3.2860e-01;       7.2181e-01
1.79e+01;   3.3180e-01;       6.3880e-01
1.80e+01;   3.3526e-01;       5.6886e-01
1.81e+01;   3.3899e-01;       5.1099e-01
1.82e+01;   3.4298e-01;       4.6392e-01
1.83e+01;   3.4724e-01;       4.2622e-01
1.84e+01;   3.5179e-01;       3.9647e-01
1.85e+01;   3.5664e-01;       3.7330e-01
1.86e+01;   3.6183e-01;       3.5550e-01
1.87e+01;   3.6738e-01;       3.4201e-01
1.88e+01;   3.7333e-01;       3.3196e-01
1.89e+01;   3.7973e-01;       3.2462e-01
1.90e+01;   3.8662e-01;       3.1943e-01
1.91e+01;   3.9409e-01;       3.1591e-01
1.92e+01;   4.0221e-01;       3.1373e-01
1.93e+01;   4.1109e-01;       3.1259e-01
1.94e+01;   4.2086e-01;       3.1230e-01
1.95e+01;   4.3169e-01;       3.1268e-01
1.96e+01;   4.4381e-01;       3.1361e-01
1.97e+01;   4.5753e-01;       3.1500e-01
1.98e+01;   4.7333e-01;       3.1677e-01
1.99e+01;   4.9194e-01;       3.1887e-01
2.00e+01;   5.1468e-01;       3.2126e-01
