"Results from CVodes cvsDiurnal_kry"
"time";      "C1(0,0)"
1.97e+04;    2.944e+07 
1.98e+04;    2.958e+07 
1.99e+04;    2.971e+07 
2.00e+04;    2.984e+07 
2.01e+04;    2.996e+07 
2.02e+04;    3.007e+07 
2.03e+04;    3.017e+07 
2.04e+04;    3.026e+07 
2.05e+04;    3.034e+07 
2.06e+04;    3.041e+07 
2.07e+04;    3.048e+07 
2.08e+04;    3.054e+07 
2.09e+04;    3.058e+07 
2.10e+04;    3.062e+07 
2.11e+04;    3.065e+07 
2.12e+04;    3.067e+07 
2.13e+04;    3.068e+07 
2.14e+04;    3.068e+07 
2.15e+04;    3.067e+07 
2.16e+04;    3.065e+07 
2.17e+04;    3.062e+07 
2.18e+04;    3.058e+07 
2.19e+04;    3.053e+07 
2.20e+04;    3.046e+07 
2.21e+04;    3.039e+07 
2.22e+04;    3.031e+07 
2.23e+04;    3.021e+07 
2.24e+04;    3.010e+07 
2.25e+04;    2.998e+07 
2.26e+04;    2.985e+07 
2.27e+04;    2.971e+07 
2.28e+04;    2.955e+07 
2.29e+04;    2.939e+07 
2.30e+04;    2.921e+07 
2.31e+04;    2.902e+07 
2.32e+04;    2.882e+07 
2.33e+04;    2.861e+07 
2.34e+04;    2.838e+07 
2.35e+04;    2.815e+07 
2.36e+04;    2.790e+07 
2.37e+04;    2.765e+07 
2.38e+04;    2.738e+07 
2.39e+04;    2.710e+07 
2.40e+04;    2.682e+07 
2.41e+04;    2.652e+07 
2.42e+04;    2.622e+07 
2.43e+04;    2.591e+07 
2.44e+04;    2.558e+07 
2.45e+04;    2.526e+07 
2.46e+04;    2.492e+07 
2.47e+04;    2.457e+07 
2.48e+04;    2.422e+07 
2.49e+04;    2.387e+07 
2.50e+04;    2.350e+07 
2.51e+04;    2.313e+07 
2.52e+04;    2.276e+07 
2.53e+04;    2.238e+07 
2.54e+04;    2.199e+07 
2.55e+04;    2.160e+07 
2.56e+04;    2.121e+07 
2.57e+04;    2.081e+07 
2.58e+04;    2.041e+07 
2.59e+04;    2.001e+07 
2.60e+04;    1.960e+07 
2.61e+04;    1.919e+07 
2.62e+04;    1.878e+07 
2.63e+04;    1.837e+07 
2.64e+04;    1.796e+07 
